mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
9.589682737986246,0.46896534242702564,0.14594284693400064,0.026340841698129114,0.7640415835413256,3.6386287158866253,0.2387586688716479,7,5,183,0.7403725339596576,"OrderedDict([('colsample_bytree', 0.7640415835413256), ('gamma', 3.6386287158866253), ('learning_rate', 0.2387586688716479), ('max_depth', 7), ('min_child_weight', 5), ('n_estimators', 183), ('subsample', 0.7403725339596576)])",0.964077670657008,0.9654899858862165,0.9628248190394326,0.964130825194219,0.0010886988055835423,12
7.95372478167216,0.054480397292017306,0.1981370449066162,0.011865923018810952,0.9349553422213137,4.416576386904311,0.02806554771929606,12,6,112,0.65532341531143,"OrderedDict([('colsample_bytree', 0.9349553422213137), ('gamma', 4.416576386904311), ('learning_rate', 0.02806554771929606), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 112), ('subsample', 0.65532341531143)])",0.9636100787394996,0.9654098248298152,0.9622781613843542,0.963766021651223,0.0012832426706581423,29
9.18277096748352,0.1527577660313722,0.30518356959025067,0.019763131204698876,0.7779330049204607,4.593612608346885,0.014285310742471472,7,2,191,0.6621792216202174,"OrderedDict([('colsample_bytree', 0.7779330049204607), ('gamma', 4.593612608346885), ('learning_rate', 0.014285310742471472), ('max_depth', 7), ('min_child_weight', 2), ('n_estimators', 191), ('subsample', 0.6621792216202174)])",0.9638836970373138,0.9654034658821944,0.962670716460633,0.9639859597933803,0.0011179812472249058,27
6.197755018870036,0.059094645375281904,0.22074294090270996,0.007114255690298704,0.9249583953429453,0.8593578069828035,0.07645185888630145,10,4,119,0.9023202131343526,"OrderedDict([('colsample_bytree', 0.9249583953429453), ('gamma', 0.8593578069828035), ('learning_rate', 0.07645185888630145), ('max_depth', 10), ('min_child_weight', 4), ('n_estimators', 119), ('subsample', 0.9023202131343526)])",0.9638812422759583,0.9653753613677846,0.9626371511603274,0.9639645849346902,0.0011194219592060195,28
10.541471799214682,0.0425652163333728,0.28955856959025067,0.002617767572328979,0.9198213766428692,2.190145932204617,0.05996280567850356,10,6,243,0.7696712289842729,"OrderedDict([('colsample_bytree', 0.9198213766428692), ('gamma', 2.190145932204617), ('learning_rate', 0.05996280567850356), ('max_depth', 10), ('min_child_weight', 6), ('n_estimators', 243), ('subsample', 0.7696712289842729)])",0.9641130952718445,0.9654809056887387,0.9627847738422278,0.9641262582676037,0.0011007305700565483,13
8.940884828567505,0.033376605367603514,0.27393349011739093,0.008706555308992827,0.8936112071942273,4.6968486880138585,0.017444866126918635,6,6,175,0.7836098056603222,"OrderedDict([('colsample_bytree', 0.8936112071942273), ('gamma', 4.6968486880138585), ('learning_rate', 0.017444866126918635), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 175), ('subsample', 0.7836098056603222)])",0.96400401077503,0.9654034658821944,0.9626773930359728,0.9640282898977324,0.001113046988398994,24
10.932427088419596,0.044789539743902124,0.3789859612782796,0.009598006467118848,0.8468317434009265,3.876821894139413,0.03390942329293072,11,5,219,0.8595110038814904,"OrderedDict([('colsample_bytree', 0.8468317434009265), ('gamma', 3.876821894139413), ('learning_rate', 0.03390942329293072), ('max_depth', 11), ('min_child_weight', 5), ('n_estimators', 219), ('subsample', 0.8595110038814904)])",0.9641130952718445,0.965474543641644,0.9627132856953321,0.9641003082029402,0.0011273150974375641,17
7.0586043993632,0.011056952168216111,0.19880088170369467,0.002048957388832603,0.817361227076125,4.600046132186582,0.05411797281355388,11,3,110,0.8283111210715592,"OrderedDict([('colsample_bytree', 0.817361227076125), ('gamma', 4.600046132186582), ('learning_rate', 0.05411797281355388), ('max_depth', 11), ('min_child_weight', 3), ('n_estimators', 110), ('subsample', 0.8283111210715592)])",0.964081711449236,0.9654034658821944,0.9627950587360778,0.9640934120225028,0.0010649098983917338,18
7.072083632151286,0.046657531344999156,0.11768500010172527,0.0035488313065346524,0.9821911945239713,3.50310722310683,0.1938811514231446,7,3,142,0.6000244203010694,"OrderedDict([('colsample_bytree', 0.9821911945239713), ('gamma', 3.50310722310683), ('learning_rate', 0.1938811514231446), ('max_depth', 7), ('min_child_weight', 3), ('n_estimators', 142), ('subsample', 0.6000244203010694)])",0.9640750558383343,0.9654781481447241,0.9628243069115726,0.964125836964877,0.0010840210221834453,14
7.127281030019124,0.005559043621211103,0.15958515803019205,0.0014420411119519774,0.6014521229018973,4.089150098318758,0.12444128798312445,6,4,155,0.7251357224938513,"OrderedDict([('colsample_bytree', 0.6014521229018973), ('gamma', 4.089150098318758), ('learning_rate', 0.12444128798312445), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 155), ('subsample', 0.7251357224938513)])",0.964112612747007,0.9654476984626551,0.962863732984292,0.9641413480646513,0.00105509515754211,11
14.962978601455688,0.07022568838285778,0.6642225583394369,0.014949034601857219,0.6081445241868513,1.706178186537547,0.023241011914992494,4,7,300,0.9606831849577565,"OrderedDict([('colsample_bytree', 0.6081445241868513), ('gamma', 1.706178186537547), ('learning_rate', 0.023241011914992494), ('max_depth', 4), ('min_child_weight', 7), ('n_estimators', 300), ('subsample', 0.9606831849577565)])",0.9639925233421787,0.965515650992398,0.9628428852612639,0.9641170198652803,0.0010946974320421236,16
8.442408243815104,0.05855365435351259,0.37534340222676593,0.017082012784110517,0.6410991944698726,2.299897271386035,0.041212348772204026,7,4,168,0.9175314861253563,"OrderedDict([('colsample_bytree', 0.6410991944698726), ('gamma', 2.299897271386035), ('learning_rate', 0.041212348772204026), ('max_depth', 7), ('min_child_weight', 4), ('n_estimators', 168), ('subsample', 0.9175314861253563)])",0.964151325898328,0.9656268660476099,0.9631095620011161,0.9642959179823514,0.0010327584644033853,1
