Model,Accuracy,Precision,Recall,F1-Score,Inference Time (ms),CV Accuracy,CV Std
XGBoost (Proposed),0.9657299850580807,0.9670393840434992,0.9657299850580807,0.9644291728455469,0.0019228164791262178,0.9656090664786736,0.0003726392533248539
Random Forest,0.9660191834964091,0.9673859529751284,0.9660191834964091,0.9647209312993439,0.004614761848245614,0.9655006160477873,0.0004726041133398996
SVM (Linear),0.4632476984624283,0.8103078998779741,0.4632476984624283,0.48649094145238475,0.036728447038776736,0.4238730066639391,0.025157409059212262
SVM (RBF),0.6434665252807635,0.7079116102057975,0.6434665252807635,0.6697765901976517,0.19968972353439488,0.7596505154408423,0.0545981617867852
