,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,train_accuracy_mean,training_time
XGBoost (Proposed),0.9656090664786736,0.0003726392533248539,0.9669424991188755,0.00036201364689097623,0.9656090664786736,0.0003726392533248539,0.9642960387995473,0.000396871656426981,0.9657536721783779,12.418451309204102
Random Forest,0.9655006160477873,0.0004726041133398996,0.9668112699095701,0.00046829116689379237,0.9655006160477873,0.0004726041133398996,0.9641861669649515,0.0005013522688628297,0.96672370318445,25.07983374595642
SVM (Linear),0.4238730066639391,0.025157409059212262,0.837786376295587,0.016699422898593375,0.4238730066639391,0.025157409059212262,0.4289093377722974,0.033424560964763476,0.4249462504780218,98.3856053352356
SVM (RBF),0.7596505154408423,0.0545981617867852,0.7749308652210891,0.05537734424841482,0.7596505154408423,0.0545981617867852,0.7579240134242169,0.04584979858182246,0.7607423150589853,174.9923825263977
