Metric,Mainnet,Dataset,Ratio,Status
gas_price_mean,35.0,19.678832398249366,0.5622523542356962,⚠
value_median,0.5,0.01,0.02,⚠
data_size_mean,200.0,9.627296739738176,0.04813648369869088,⚠
