Model,Accuracy,F1-Score,Inference (ms)
XGBoost-3,0.9660092158790753,0.9647189596485864,0.6033856868743896
Random Forest-5,0.9664430177183951,0.965177880809225,31.80594038963318
DeepMLP-5,0.9658164150615999,0.9645049778637198,44.18283748626709
AFSE Ensemble,0.9645255615179461,0.9640479053779005,76.70585894584656
