Model,Accuracy,Weight,F1-Score
RFC,0.965010361945154,0.3,0.9636503614789862
GBM,0.965010361945154,0.3,0.9636547249481784
NN,0.9652031423201118,0.25,0.9638506349694601
SVM,0.7789773001108488,0.15,0.7994168964895723
Ensemble,0.9651549472263724,1.0,0.9637896891602613
