Model,Total Cost,Cost per Sample
Transformer,7255,0.34968911167879696
BiLSTM,7270,0.350412107774618
Deep MLP,7275,0.35065310647322506
XGBoost (Proposed),7290,0.3513761025690461
Random Forest,7290,0.3513761025690461
1D-CNN,7330,0.35330409215790237
SVM (RBF),36755,1.7715814334602593
SVM (Linear),79525,3.8330843013447726
