Group,Num_Features,Accuracy,Accuracy_Drop,Drop_Percent
Nonce Features,2,0.9412445172796067,0.02356967272376731,2.4429235150122417
Timing Features,2,0.9625006024967465,0.002313587506627468,0.23979617325273558
Transaction Features,4,0.9627898009350749,0.0020243890682990484,0.20982165159614508
Gas Features,4,0.9631753988528462,0.0016387911505277852,0.16985562272068722
