Model,Accuracy,Precision,Recall,F1-Score,Inference (ms),Model Type
Transformer,0.9650069889622596,0.9664010345280459,0.9650069889622596,0.963646664453994,0.17445092144463845,Deep Learning
BiLSTM,0.9649105894828168,0.966330573208955,0.9649105894828168,0.9635324986085655,0.1696948115208663,Deep Learning
Deep MLP,0.9648623897430953,0.9662822900738101,0.9648623897430953,0.9634842385775572,0.042315281436673964,Deep Learning
Random Forest,0.964814190003374,0.966143475075384,0.964814190003374,0.9634542215110167,0.004374573545271606,Classical ML
XGBoost (Proposed),0.964814190003374,0.9661759555596505,0.964814190003374,0.9634454632963052,0.004344246913457415,Classical ML
1D-CNN,0.9646213910444884,0.9660315311339464,0.9646213910444884,0.9632324894073688,0.033398194445663686,Deep Learning
SVM (RBF),0.8228177567841134,0.8831138425522227,0.8228177567841134,0.837642049235816,0.39528935089015715,Classical ML
SVM (Linear),0.616667469995662,0.8684111974122496,0.616667469995662,0.6503385160852604,0.08478714896091906,Classical ML
