Model,Accuracy,Precision,Recall,F1-Score,Inference Time (ms),CV Accuracy,CV Std
XGBoost (Proposed),0.964814190003374,0.9661759555596505,0.964814190003374,0.9634454632963052,0.002740026698225336,0.9659344482638961,0.0016685861297411606
Random Forest,0.964814190003374,0.966143475075384,0.964814190003374,0.9634542215110167,0.004614532013976465,0.9658621489446564,0.0017072733128631898
SVM (Linear),0.616667469995662,0.8684111974122496,0.616667469995662,0.6503385160852604,0.07708242624795551,0.5358051851340362,0.16470955746543842
SVM (RBF),0.8228177567841134,0.8831138425522227,0.8228177567841134,0.837642049235816,0.4804178841827565,0.7152465059098254,0.10033081636784222
