Model,Accuracy,Accuracy_Std,Precision,Precision_Std,Recall,Recall_Std,F1-Score,F1_Std,Time
XGBoost (Proposed),0.9659344482638961,0.0016685861297411606,0.9672408590023611,0.0015426988623518545,0.9659344482638961,0.0016685861297411606,0.9646448866913071,0.0018038279043018266,20.64078402519226
Random Forest,0.9658621489446564,0.0017072733128631898,0.9671526039802396,0.0015924555998628096,0.9658621489446564,0.0017072733128631898,0.9645705489953531,0.001841942543897141,22.97454023361206
SVM (Linear),0.5358051851340362,0.16470955746543842,0.8477752649429682,0.019687837772794252,0.5358051851340362,0.16470955746543842,0.5470159289489624,0.17244804470275057,23.195945262908936
SVM (RBF),0.7152465059098254,0.10033081636784222,0.7527859730864457,0.06462853189386282,0.7152465059098254,0.10033081636784222,0.728920658054942,0.0859440392033836,39.51641225814819
