Model,Parameters,Accuracy,Precision,Recall,F1-Score,Training Time (s),Inference Time (ms)
Deep MLP,12165,0.9648623897430953,0.9662822900738101,0.9648623897430953,0.9634842385775572,52.01987671852112,0.033505676441631146
1D-CNN,8869,0.9646213910444884,0.9660315311339464,0.9646213910444884,0.9632324894073688,228.01918148994446,0.04792702986934694
BiLSTM,79493,0.9649105894828168,0.966330573208955,0.9649105894828168,0.9635324986085655,1216.0042865276337,0.17560397698953134
Transformer,79557,0.9648623897430953,0.9662695783272525,0.9648623897430953,0.9634845925096517,1179.3434267044067,0.1404639950268365
