Model,Best_Score,Best_Params,Time_seconds
SVM (Linear),0.795233819914532,"{'C': 1, 'max_iter': 2000}",59.94762945175171
SVM (RBF),0.7998819360427522,"{'C': 100, 'gamma': 0.1, 'max_iter': 2000}",815.3557164669037
